-2.250 -4.500       36.500000000000000     -384.750000000000000     4297.500000000000000   -35133.750000000000000
-2.240 -4.480       36.140800000000006     -378.212352000000237     4175.427747840003576   -33015.605231616071251
-2.230 -4.460       35.783200000000001     -371.739216000000056     4055.437213440000505   -30957.975299711957632
-2.220 -4.440       35.427200000000006     -365.330304000000069     3937.507799040002737   -28959.824498688059975
-2.210 -4.420       35.072800000000001     -358.985327999999981     3821.618999040000745   -27020.127398783992248
-2.200 -4.400       34.720000000000006     -352.704000000000121     3707.750400000001264   -25137.868800000003830
-2.190 -4.380       34.368800000000000     -346.486031999999966     3595.881680639996830   -23312.043686015982530
-2.180 -4.360       34.019200000000005     -340.331136000000072     3485.992611840002610   -21541.657178112021938
-2.170 -4.340       33.671199999999999     -334.239023999999915     3378.063056639999104   -19825.724489087984693
-2.160 -4.320       33.324800000000003     -328.209408000000053     3272.072970240001723   -18163.270877184040728
-2.150 -4.300       32.979999999999997     -322.241999999999962     3168.002400000000762   -16553.331600000001345
-2.140 -4.280       32.636800000000001     -316.336512000000027     3065.831485440000961   -14994.951868416026628
-2.130 -4.260       32.295199999999994     -310.492655999999954     2965.540458239999680   -13487.186800511974070
-2.120 -4.240       31.955200000000005     -304.710144000000014     2867.109642240001449   -12029.101375488042322
-2.110 -4.220       31.616799999999998     -298.988687999999911     2770.519453439998870   -10619.770387584005221
-2.100 -4.200       31.280000000000001     -293.328000000000031     2675.750400000001264    -9258.278400000017427
-2.090 -4.180       30.944799999999994     -287.727791999999909     2582.783082239998748    -7943.719698815961237
-2.080 -4.160       30.611200000000004     -282.187776000000042     2491.598192640000434    -6675.198246911991191
-2.070 -4.140       30.279199999999996     -276.707663999999909     2402.176515839998956    -5451.827637887968194
-2.060 -4.120       29.948799999999999     -271.287168000000008     2314.498928640001395    -4272.731049984009587
-2.050 -4.100       29.619999999999997     -265.925999999999931     2228.546399999997902    -3137.041199999999662
-2.040 -4.080       29.292800000000000     -260.623872000000006     2144.299991039999895    -2043.900297215993760
-2.030 -4.060       28.967200000000005     -255.380496000000193     2061.740855040002316     -992.459997312002997
-2.020 -4.040       28.643200000000000     -250.195584000000053     1980.850237440000456       18.118643712015228
-2.010 -4.020       28.320800000000006     -245.068848000000088     1901.609475840002005      988.665215615977786
-2.000 -4.000       28.000000000000000     -240.000000000000000     1824.000000000000000     1920.000000000000000
-1.990 -3.980       27.680800000000001     -234.988752000000034     1748.003331839999646     2812.934016383990183
-1.980 -3.960       27.363199999999999     -230.034816000000063     1673.601085440000816     3668.269068288008384
-1.970 -3.940       27.047200000000000     -225.137903999999963     1600.774967040000092     4486.797789311995984
-1.960 -3.920       26.732799999999997     -220.297727999999950     1529.506775039999638     5269.303689216014391
-1.950 -3.900       26.419999999999998     -215.513999999999982     1459.778399999999010     6016.561200000001008
-1.940 -3.880       26.108799999999999     -210.786431999999991     1391.571824639999249     6729.335721984017255
-1.930 -3.860       25.799199999999999     -206.114735999999937     1324.869123839999475     7408.383669887984070
-1.920 -3.840       25.491199999999999     -201.498623999999950     1259.652464639998925     8054.452518911994048
-1.910 -3.820       25.184800000000003     -196.937808000000075     1195.904106240001738     8668.280850815976009
-1.900 -3.800       24.880000000000003     -192.432000000000102     1133.606400000001258     9250.598399999991670
-1.890 -3.780       24.576800000000002     -187.980912000000075     1072.741789440001185     9802.126099583991163
-1.880 -3.760       24.275200000000005     -183.584256000000039     1013.292810239999881    10323.576127487998747
-1.870 -3.740       23.975200000000005     -179.241744000000068      955.242090239999925    10815.651952512018397
-1.860 -3.720       23.676800000000004     -174.953088000000037      898.572349440000608    11279.048380415983047
-1.850 -3.700       23.380000000000003     -170.717999999999961      843.266399999999976    11714.451599999993050
-1.840 -3.680       23.084800000000001     -166.536192000000057      789.307146239999611    12122.539229183983480
-1.830 -3.660       22.791200000000003     -162.407376000000028      736.677584639999850    12503.980361087997153
-1.820 -3.640       22.499200000000002     -158.331264000000033      685.360803840000472    12859.435610111979258
-1.810 -3.620       22.208800000000000     -154.307568000000060      635.339984640000011    13189.557158015981258
-1.800 -3.600       21.920000000000002     -150.336000000000013      586.598399999999856    13494.988800000019182
-1.790 -3.580       21.632800000000000     -146.416272000000021      539.119415040000831    13776.365990784017413
-1.780 -3.560       21.347200000000001     -142.548096000000044      492.886487039999793    14034.315890688007130
-1.770 -3.540       21.063200000000002     -138.731184000000013      447.883165439999857    14269.457411712015528
-1.760 -3.520       20.780799999999999     -134.965247999999974      404.093091840000170    14482.401263616009601
-1.750 -3.500       20.500000000000000     -131.250000000000000      361.500000000000000    14673.750000000000000
-1.740 -3.480       20.220800000000001     -127.585151999999994      320.087715839999419    14844.098064383995734
-1.730 -3.460       19.943200000000001     -123.970415999999986      279.840157439999984    14994.031836287989790
-1.720 -3.440       19.667199999999998     -120.405503999999979      240.741335039999967    15124.129677311999330
-1.710 -3.420       19.392799999999998     -116.890127999999976      202.775351039999805    15234.961977215996740
-1.700 -3.400       19.119999999999997     -113.423999999999978      165.926400000000058    15327.091199999997116
-1.690 -3.380       18.848799999999997     -110.006831999999989      130.178768640000044    15401.071929984011149
-1.680 -3.360       18.579199999999997     -106.638335999999953       95.516835840000226    15457.450917887994365
-1.670 -3.340       18.311199999999999     -103.318223999999958       61.925072639999485    15496.767126912000094
-1.660 -3.320       18.044800000000002     -100.046208000000050       29.388042240001255    15519.551778815995931
-1.650 -3.300       17.780000000000005      -96.822000000000060       -2.109600000000114    15526.328400000005786
-1.640 -3.280       17.516800000000003      -93.645312000000033      -32.583106559999919    15517.612867583993648
